,유저명,별표,작성일,작성내용
55,Logan,1,"July 2, 2021",1개도 아까운 어플 반송하려고 하는데 마지막 반송날짜가 어플로는 세팅불가능 오히려 일반 웹에서는 지원 이게 뭔가요 ???????
56,콩장금,1,"May 6, 2021",최고라 6점 드립니다. 5+1 ~^~^~
57,d d,1,"May 5, 2021",무신사가 아니라 무계집인가요? 바로삭제
58,허범수,1,"May 12, 2021",아아 ㅡ 이게 「우연」라는 것이다
59,Morison Jack (mccree),1,"May 5, 2021",한남 aut!!!!!!
60,Kp Kiyrd,1,"May 4, 2021","해당 이미지에 차별과 혐오가 없나요? 문제 인식이 전혀 없으신게 아닌가요? 제 생각에는 차별과 혐오가 담긴 이미지를 사용한거에 대해 사과하는게 아닌지? 무신사가 어떤 생각을 가지고 있는지 잘 이해했습니다. 또, 언젠가 비슷한 이슈 나올꺼 같으니 미련없이 앱 지웁니다."
61,박진형,1,"May 4, 2021",사용하기 불편함
62,Chris Kim,1,"May 4, 2021",쓰레기 페미니스트 앱
63,우량아,1,"May 8, 2021",Femi Femi Megal Megal
64,신태범,1,"May 4, 2021",최고에요
65,Sam Hong,5,"March 24, 2021",덕분에 저렴하게 예쁜 옷 구매했습니다 :)
66,DONGWOO KIM,5,"April 2, 2021",무신사 앱 너무 느려요 그래도 쓸만하네요 카테고리별로 상품을 찾는게 너무 잘되어 있어요.
67,김희수,1,"March 6, 2021",우신사 사건보고 지울게요 다신 안삽니다
68,Battsetseg Baldanjamts,5,"September 11, 2021",So good
69,Mellow Ian,1,"May 4, 2021",무신사 애용했는데 ㅠ
70,Nomuun Bayarsaikhan,5,"December 30, 2020",Love it
71,김정덕,5,"December 12, 2020",깔끔합니다
72,최호진,5,"February 7, 2021",굳
73,Н. Итгэл,5,"December 2, 2020",Good
74,Yohan Jeon,5,"December 8, 2020",완전 편리
75,Kim Sunny,5,"November 22, 2020",가성비 좋은 양질의 상품이 정말 많아요. 유니클로사태이후 거의 대부분은 기본템들을 무신사에서 구합니다. 다만 검색이 쉽지않은 부분은 좀더 개선되었으면해요
76,이우영,5,"November 8, 2020",무신사 없이는 살 수 없는 몸이 돼버렷
77,Gyeongmin Hwang,4,"October 29, 2020",뭔 놈의 이벤트가 다 어플에서만 된대. 근데 인터페이스는 깔끔하네요.
78,hyeonghee kim,5,"November 4, 2020",필수 앱이죠.. ^^♡
79,Hyeseung Kim,4,"October 11, 2020",제발 해외배송 가능하게 해주셨으면 좋겠어요 제발요 ㅜㅠ 옷 살 때 맨날 이것만 이용할게요 제발 해외배송 하루빨리 됐으면 좋겠네용 ㅜㅜ
80,hyunjin do,5,"September 26, 2020",간편하고 빠른 내 손안의 편집샵! 애용합니당
81,김경민,5,"October 13, 2020",Good
82,Juu 218,5,"September 4, 2020",옷살땐 역시 무신사
83,Jiho Lee,3,"August 6, 2020",사이즈를 잘못 주문해서 환불을 하려는데 환불이 안돼요
84,김주은,2,"July 20, 2020",알림 다 꺼놨는데 왜 자꾸 브랜드 알림이 여러개 뜨는건지
85,Iru Hwang,1,"June 5, 2020",너무 느리다. 뭐만하면 로딩 버벅임
86,지민JIMIN,5,"May 16, 2020","개인적으로 업그레이드 전이 더 좋았지만, 그래두 역시 무신사라서 좋아요. 짱"
87,A Google user,3,"December 7, 2019",내가 미국에 살면 물건을 살 방법이 있을까? 너희들은 PayPal과 국제선 배송을 받아들이니?
88,A Google user,1,"August 26, 2019","계속 네트워크 확인 해달라고요. 다른 앱을 오픈 되는데, 이게 왜 안 돼죠?"
89,A Google user,4,"May 24, 2019",soso
90,A Google user,3,"October 5, 2017",결재가 안 돼요
91,이기준,1,"May 4, 2021",무신사 정말 좋아요 앞으로도 이렇게만 해주세요! 아 물론 별점 1점 준건 오해입니다
92,Jeon Seungyup,1,"May 5, 2021",혐오주의에 편승하는 반인륜적이고 반사회적 기업으로 이 세상에서 사라져야하는 회사임
93,Success Myanmar Audio,5,"January 28, 2022",ကိုရီးယား ရောက်မြန်မာများ အဝတ်အစားဝယ်ရင် သုံးသင့်တဲ့ Web site ပါ
94,M,1,"May 5, 2021",남혐기업 망해라
95,Seongjune Kim,1,"May 8, 2021",BOYCOTT MUSINSA
96,Ji Son,1,"May 4, 2021","""Feminism"""
97,Sooseok Kim,5,"October 1, 2020",많이 애용해용
